,osmid,highway,lon,lat,geometry
24491,65471038,,-121.9566103,37.3015531,POINT (-121.9566103 37.3015531)
24492,65471043,,-122.1974571,37.4332317,POINT (-122.1974571 37.4332317)
24493,65471044,,-122.1971591,37.4325579,POINT (-122.1971591 37.4325579)
24494,65471045,,-121.9565806,37.2973592,POINT (-121.9565806 37.2973592)
24495,65471050,,-122.1970866,37.4322974,POINT (-122.1970866 37.4322974)
24496,312410699,,-121.7618825,37.2197369,POINT (-121.7618825 37.2197369)
24497,65471052,,-121.8856452,37.2750552,POINT (-121.8856452 37.2750552)
24498,3969450575,,-121.8995872,37.3269207,POINT (-121.8995872 37.3269207)
24499,65602130,,-121.8143698,37.260433,POINT (-121.8143698 37.260433)
24500,312410707,,-121.7631545,37.2221244,POINT (-121.7631545 37.2221244)
24501,65471061,,-121.8282374,37.4013581,POINT (-121.8282374 37.4013581)
24502,65471062,,-122.1941429,37.4271413,POINT (-122.1941429 37.4271413)
24503,65602137,turning_circle,-122.018837,37.3205311,POINT (-122.018837 37.3205311)
24504,65471066,,-121.827063,37.4019873,POINT (-121.827063 37.4019873)
24505,65471068,,-121.8258226,37.4027274,POINT (-121.8258226 37.4027274)
24506,65471069,,-121.8248914,37.4032827,POINT (-121.8248914 37.4032827)
24507,312410718,,-121.7671985,37.2241322,POINT (-121.7671985 37.2241322)
24508,65471077,,-122.0865429,37.414162,POINT (-122.0865429 37.414162)
24509,65471078,,-122.0892884,37.4143214,POINT (-122.0892884 37.4143214)
24510,65471079,,-122.1840989,37.4522298,POINT (-122.1840989 37.4522298)
24511,65471080,traffic_signals,-122.0927022,37.4145108,POINT (-122.0927022 37.4145108)
24512,65471081,,-122.1858004,37.4501637,POINT (-122.1858004 37.4501637)
24513,65471084,traffic_signals,-122.0974077,37.4147945,POINT (-122.0974077 37.4147945)
24514,65602157,turning_circle,-121.8922771,37.453144,POINT (-121.8922771 37.453144)
24515,65471086,,-122.1883339,37.4470647,POINT (-122.1883339 37.4470647)
24516,4551541360,,-121.7979593,37.2428529,POINT (-121.7979593 37.2428529)
24517,65471088,,-122.1885025,37.4468623,POINT (-122.1885025 37.4468623)
24518,65471089,,-122.1912297,37.4435882,POINT (-122.1912297 37.4435882)
24519,65471092,,-122.1935925,37.4407516,POINT (-122.1935925 37.4407516)
24520,65602166,turning_circle,-121.954345,37.3186897,POINT (-121.954345 37.3186897)
24521,65471095,,-122.194754,37.4393587,POINT (-122.194754 37.4393587)
24522,65471094,,-122.1938581,37.4404327,POINT (-122.1938581 37.4404327)
24523,4833739389,,-122.1675747,37.4820954,POINT (-122.1675747 37.4820954)
24524,65471108,,-122.0350855,37.2838337,POINT (-122.0350855 37.2838337)
24525,65471109,,-122.0414735,37.3133041,POINT (-122.0414735 37.3133041)
24526,65602182,,-122.1322361,37.3678427,POINT (-122.1322361 37.3678427)
24527,53019272,,-121.9098769,37.4654962,POINT (-121.9098769 37.4654962)
24528,65471112,,-122.0419648,37.3132966,POINT (-122.0419648 37.3132966)
24529,53019274,turning_circle,-121.910154,37.4659064,POINT (-121.910154 37.4659064)
24530,65471117,,-121.8572788,37.4088084,POINT (-121.8572788 37.4088084)
24531,65471120,,-121.8568248,37.4080509,POINT (-121.8568248 37.4080509)
24532,65471122,,-121.8559974,37.4069052,POINT (-121.8559974 37.4069052)
24533,65471123,,-121.8554797,37.4062511,POINT (-121.8554797 37.4062511)
24534,65602197,,-122.1264542,37.3789117,POINT (-122.1264542 37.3789117)
24535,65602198,,-122.1240783,37.380184,POINT (-122.1240783 37.380184)
24536,65471128,,-122.0188741,37.3427403,POINT (-122.0188741 37.3427403)
24537,53150365,,-122.0293631,37.5334819,POINT (-122.0293631 37.5334819)
24538,65471133,,-121.8959951,37.2833368,POINT (-121.8959951 37.2833368)
24539,65602207,,-121.8494466,37.3746672,POINT (-121.8494466 37.3746672)
24540,65471136,,-121.8986393,37.2820482,POINT (-121.8986393 37.2820482)
24541,65471137,,-121.9007369,37.2809682,POINT (-121.9007369 37.2809682)
24542,65602210,turning_circle,-121.8800659,37.2183538,POINT (-121.8800659 37.2183538)
24543,65471139,,-121.9015361,37.2805308,POINT (-121.9015361 37.2805308)
24544,65471143,,-121.8858662,37.2367604,POINT (-121.8858662 37.2367604)
24545,65602221,,-121.9711986,37.3073529,POINT (-121.9711986 37.3073529)
24546,65471149,,-121.884446,37.2380011,POINT (-121.884446 37.2380011)
24547,65602226,,-121.9747048,37.3072785,POINT (-121.9747048 37.3072785)
24548,65471154,,-121.8841268,37.2345908,POINT (-121.8841268 37.2345908)
24549,53150389,,-121.9399155,37.4786742,POINT (-121.9399155 37.4786742)
24550,65471160,,-121.8841153,37.2357562,POINT (-121.8841153 37.2357562)
24551,65471164,,-121.8843119,37.2361748,POINT (-121.8843119 37.2361748)
24552,65471166,,-121.8848449,37.2368768,POINT (-121.8848449 37.2368768)
24553,288686796,,-121.8217157,37.4038487,POINT (-121.8217157 37.4038487)
24554,728171219,motorway_junction,-121.9702861,37.4187519,POINT (-121.9702861 37.4187519)
24555,728171220,,-121.9702137,37.4185133,POINT (-121.9702137 37.4185133)
24556,427492052,,-121.8011831,37.2497385,POINT (-121.8011831 37.2497385)
24557,259982041,,-121.8747929,37.3963978,POINT (-121.8747929 37.3963978)
24558,247136985,,-122.1633489,37.3881328,POINT (-122.1633489 37.3881328)
24559,259982043,,-121.8771151,37.4042729,POINT (-121.8771151 37.4042729)
24560,7335772891,,-121.9120155,37.3259934,POINT (-121.9120155 37.3259934)
24561,427492061,,-121.7944885,37.2420065,POINT (-121.7944885 37.2420065)
24562,65471200,,-121.8788474,37.2175827,POINT (-121.8788474 37.2175827)
24563,65471202,,-121.877214,37.219417,POINT (-121.877214 37.219417)
24564,3715039972,,-121.8933146,37.3710404,POINT (-121.8933146 37.3710404)
24565,65602280,,-122.0551536,37.3773421,POINT (-122.0551536 37.3773421)
24566,3715039978,,-121.8957182,37.3787884,POINT (-121.8957182 37.3787884)
24567,65471212,,-121.8765076,37.2243418,POINT (-121.8765076 37.2243418)
24568,3715039983,,-121.8965113,37.3788149,POINT (-121.8965113 37.3788149)
24569,3715039984,,-121.8965015,37.3790816,POINT (-121.8965015 37.3790816)
24570,3715039985,,-121.897078,37.3790957,POINT (-121.897078 37.3790957)
24571,3715039986,,-121.8959297,37.3790677,POINT (-121.8959297 37.3790677)
24572,312410864,turning_circle,-121.7676266,37.2326507,POINT (-121.7676266 37.2326507)
24573,65471215,,-121.8765,37.2258819,POINT (-121.8765 37.2258819)
24574,65471222,,-121.8764999,37.2267102,POINT (-121.8764999 37.2267102)
24575,65471224,,-121.8764969,37.2270671,POINT (-121.8764969 37.2270671)
24576,65471226,,-121.8764947,37.2279231,POINT (-121.8764947 37.2279231)
24577,310969084,traffic_signals,-121.9312622,37.2522184,POINT (-121.9312622 37.2522184)
24578,65471228,,-121.8765945,37.2292951,POINT (-121.8765945 37.2292951)
24579,65471230,,-121.8766713,37.2300544,POINT (-121.8766713 37.2300544)
24580,65602306,,-121.8849961,37.2790324,POINT (-121.8849961 37.2790324)
24581,65471234,,-121.8766464,37.2313601,POINT (-121.8766464 37.2313601)
24582,65602308,,-121.8874865,37.2784359,POINT (-121.8874865 37.2784359)
24583,65602309,,-121.8882778,37.2781328,POINT (-121.8882778 37.2781328)
24584,65602310,,-121.889989,37.277532,POINT (-121.889989 37.277532)
24585,65602312,,-121.8908339,37.2772834,POINT (-121.8908339 37.2772834)
24586,65471240,,-121.8766272,37.2320526,POINT (-121.8766272 37.2320526)
24587,65602317,turning_circle,-122.1074645,37.4225815,POINT (-122.1074645 37.4225815)
24588,65471248,,-121.8764803,37.2327211,POINT (-121.8764803 37.2327211)
24589,65471262,,-121.8759945,37.2333916,POINT (-121.8759945 37.2333916)
24590,65602340,,-122.1195966,37.4404062,POINT (-122.1195966 37.4404062)
24591,65471268,,-121.875608,37.2348305,POINT (-121.875608 37.2348305)
24592,65471279,,-121.8748688,37.2356085,POINT (-121.8748688 37.2356085)
24593,65471283,,-121.8739155,37.2359676,POINT (-121.8739155 37.2359676)
24594,65471284,,-121.8732152,37.2362193,POINT (-121.8732152 37.2362193)
24595,65471292,,-121.9498101,37.2364935,POINT (-121.9498101 37.2364935)
24596,65602368,,-121.7914371,37.3496685,POINT (-121.7914371 37.3496685)
24597,65471299,,-121.9494738,37.2353364,POINT (-121.9494738 37.2353364)
24598,65602372,turning_circle,-121.7907419,37.3503576,POINT (-121.7907419 37.3503576)
24599,65471305,,-122.0513897,37.3750756,POINT (-122.0513897 37.3750756)
24600,65602377,turning_circle,-121.9733193,37.2870444,POINT (-121.9733193 37.2870444)
24601,65471307,,-122.0539954,37.3756489,POINT (-122.0539954 37.3756489)
24602,65602384,,-122.0367214,37.3522338,POINT (-122.0367214 37.3522338)
24603,53150545,,-121.9759524,37.5224503,POINT (-121.9759524 37.5224503)
24604,53150546,turning_circle,-121.9757166,37.5228645,POINT (-121.9757166 37.5228645)
24605,65602385,,-122.0376472,37.352232,POINT (-122.0376472 37.352232)
24606,310969170,traffic_signals,-121.9312602,37.2523377,POINT (-121.9312602 37.2523377)
24607,4598727505,,-121.7787532,37.3404371,POINT (-121.7787532 37.3404371)
24608,65602390,,-122.0441667,37.3522043,POINT (-122.0441667 37.3522043)
24609,65471318,,-121.9185835,37.2569544,POINT (-121.9185835 37.2569544)
24610,65471314,,-121.9185937,37.2576747,POINT (-121.9185937 37.2576747)
24611,65602394,,-122.0459538,37.3522095,POINT (-122.0459538 37.3522095)
24612,65471324,,-121.9185845,37.2562012,POINT (-121.9185845 37.2562012)
24613,65471325,,-121.9185732,37.255498,POINT (-121.9185732 37.255498)
24614,65471330,,-122.1165561,37.4397776,POINT (-122.1165561 37.4397776)
24615,65602404,,-122.0592438,37.3522011,POINT (-122.0592438 37.3522011)
24616,65471337,turning_circle,-122.1175107,37.440463,POINT (-122.1175107 37.440463)
24617,65471343,,-121.8602187,37.4084992,POINT (-121.8602187 37.4084992)
24618,65471344,stop,-122.1742587,37.4528215,POINT (-122.1742587 37.4528215)
24619,65471346,,-122.1740466,37.4530905,POINT (-122.1740466 37.4530905)
24620,65471348,,-121.8572562,37.4096565,POINT (-121.8572562 37.4096565)
24621,3694068596,,-121.9685849,37.2567643,POINT (-121.9685849 37.2567643)
24622,65471350,,-121.8567841,37.4098492,POINT (-121.8567841 37.4098492)
24623,65471354,,-121.8546004,37.4108142,POINT (-121.8546004 37.4108142)
24624,53019519,,-122.0116609,37.5227214,POINT (-122.0116609 37.5227214)
24625,53019520,turning_circle,-122.0119115,37.5223527,POINT (-122.0119115 37.5223527)
24626,65471361,,-121.8534076,37.4113243,POINT (-121.8534076 37.4113243)
24627,308872063,motorway_junction,-121.8312684,37.2481836,POINT (-121.8312684 37.2481836)
24628,65471366,,-122.173999,37.4536783,POINT (-122.173999 37.4536783)
24629,1071842184,,-121.9680782,37.4089808,POINT (-121.9680782 37.4089808)
24630,65602442,,-122.0840838,37.3983916,POINT (-122.0840838 37.3983916)
24631,65471371,,-121.8272555,37.2965221,POINT (-121.8272555 37.2965221)
24632,53019536,turning_circle,-121.9745205,37.5157866,POINT (-121.9745205 37.5157866)
24633,65471377,,-121.8253672,37.2941391,POINT (-121.8253672 37.2941391)
24634,65602450,,-122.1217651,37.3904985,POINT (-122.1217651 37.3904985)
24635,65602452,,-122.121808,37.3914695,POINT (-122.121808 37.3914695)
24636,65471383,traffic_signals,-121.9776494,37.3523111,POINT (-121.9776494 37.3523111)
